Label,Input,S1_MeanAccelX,S1_StdAccelX,S1_MeanAccelY,S1_StdAccelY,S1_MeanAccelZ,S1_StdAccelZ,S1_MeanGyroX,S1_StdGyroX,S1_MeanGyroY,S1_StdGyroY,S1_MeanGyroZ,S1_StdGyroZ,S2_MeanAccelX,S2_StdAccelX,S2_MeanAccelY,S2_StdAccelY,S2_MeanAccelZ,S2_StdAccelZ,S2_MeanGyroX,S2_StdGyroX,S2_MeanGyroY,S2_StdGyroY,S2_MeanGyroZ,S2_StdGyroZ,S3_MeanAccelX,S3_StdAccelX,S3_MeanAccelY,S3_StdAccelY,S3_MeanAccelZ,S3_StdAccelZ,S3_MeanGyroX,S3_StdGyroX,S3_MeanGyroY,S3_StdGyroY,S3_MeanGyroZ,S3_StdGyroZ,S4_MeanAccelX,S4_StdAccelX,S4_MeanAccelY,S4_StdAccelY,S4_MeanAccelZ,S4_StdAccelZ,S4_MeanGyroX,S4_StdGyroX,S4_MeanGyroY,S4_StdGyroY,S4_MeanGyroZ,S4_StdGyroZ,S5_MeanAccelX,S5_StdAccelX,S5_MeanAccelY,S5_StdAccelY,S5_MeanAccelZ,S5_StdAccelZ,S5_MeanGyroX,S5_StdGyroX,S5_MeanGyroY,S5_StdGyroY,S5_MeanGyroZ,S5_StdGyroZ
A,1,503.5,3582.5070481437997,-159.375,2650.6071209017377,152.875,2398.547421748213,14.21875,1568.2835110076358,5.53125,4167.55389125605,-23.25,2705.0911837681183,516.125,3990.533608977,-47.875,2248.997217511618,55.75,3990.212016610145,13.53125,2513.10880664237,8.25,6424.966245047518,-29.8125,2380.8461132218836,525.5,4629.807960380214,-61.875,2663.1327387824663,-76.625,4377.825271681706,-6.78125,3591.6181653815092,26.625,7385.753531927193,-23.03125,2543.5226862116715,530.0,4807.911292858886,-91.375,2302.1985382184134,13.0,4199.610815301818,18.375,2974.7367924532414,20.75,6587.150227905843,-26.8125,3076.487368305573,-441.625,2432.022997295667,122.5,1575.780996839345,-271.125,1894.8270988074348,21.3125,1456.5072398871728,23.5625,1267.8087626269785,-20.40625,981.1950576775943
A,2,984.5,2566.5322421508754,-273.625,2671.880397655367,273.125,2542.938897098198,-19.125,3408.350212621203,15.3125,4314.502038456321,18.0625,2863.027232422659,1026.0,2884.4333932334093,-241.875,2262.942991852645,179.125,4770.840359347083,10.65625,2993.5864110771777,50.3125,4765.220459469189,16.5,2004.3657974531495,1056.375,3377.9996091437015,-208.625,2209.139449961229,-117.125,6144.510577285631,19.625,2881.743252247674,81.59375,5606.1352154323695,19.65625,2406.138940415939,1011.25,4212.706189315842,-263.875,3527.1083743450527,-123.875,4960.50919607806,53.5625,3492.580286635334,38.28125,4617.996184997172,34.21875,2477.565459962347,-43.5,811.3000369776893,-31.125,2047.4786285514679,170.75,1105.6022962620873,5.46875,2728.6991404373325,18.5625,768.2737523785061,-60.53125,1225.4935736361238
A,3,990.375,3565.9102427535945,-266.375,2541.938995997937,88.875,3781.15547609127,16.59375,5182.045993496288,140.96875,5734.531282526362,88.21875,5030.1882092918195,1012.625,4396.220093372828,-220.75,2909.548150056981,57.75,8770.556364193779,-1.84375,4872.697187578553,127.0625,6846.49554944672,73.84375,3607.6701719164876,1008.75,4855.029396151995,-211.875,3298.314491429676,-198.375,7352.772868746525,12.6875,3299.9308556913356,128.96875,7054.263739418412,65.9375,2942.6718719717546,982.375,3989.5548447633855,-270.25,2141.713318233792,-102.25,5012.945634803952,55.5625,2889.3337785021913,77.84375,6312.826848515326,80.15625,2900.3002334820335,-82.25,679.7763878658923,-8.625,2670.2983184234304,139.0,1208.1138191412265,93.71875,2799.487176635828,36.4375,651.2957247623771,-37.625,1294.8267922293699
A,4,998.875,3293.621143115128,-242.125,3215.141363046888,137.625,2830.3423572732327,-33.1875,1894.2366278645734,78.75,3901.0452285252986,-6.78125,3658.335906993566,1007.375,4750.08095819166,-247.25,2753.209479407624,11.875,5168.401637293197,-59.34375,2155.416238939926,82.53125,5542.192396653461,5.84375,2589.7775496818135,1012.0,4709.672281592425,-204.375,2288.208111028147,-215.25,6316.022358850545,-49.28125,2049.190560233098,85.78125,6316.444147690886,9.0625,2142.541422258564,964.25,3968.3005099790516,-244.5,2825.6781044556365,-168.25,4676.7287645853485,-20.28125,2522.4148924489878,55.65625,6592.470186742291,26.375,2883.040287071098,-22.0,641.9618368719437,59.625,2415.3141326492087,103.75,948.3163699420146,26.25,1777.0966314469229,2.15625,2947.9082426079576,-37.6875,1519.2935331408971
A,5,1008.375,2843.0744554750936,-230.375,1966.0014901761901,52.0,1888.2203261272239,-55.09375,2004.2757476108266,-84.4375,4436.207261963055,-26.34375,2974.633408184265,1034.0,2747.3152349157167,-236.375,1725.6489675988566,-80.625,3412.22494999597,-62.46875,2323.9437652455013,-112.65625,5270.500608394419,-57.84375,2564.3531848861885,1018.875,4237.924047735519,-210.75,2615.783522675376,-220.375,4999.0744502732705,-58.09375,2698.923539572942,-61.03125,5378.08497216002,-39.96875,2064.320900507825,1001.625,4556.3388657314545,-238.875,1823.2471676585706,-146.0,4077.5350397022953,-60.59375,3123.1382240001703,-8.90625,6108.558879552602,-39.125,2870.0109619781942,-84.0,611.3967615223359,-13.875,1448.9202822705602,155.375,964.0913387096681,-35.65625,2146.290486067983,-11.5,795.5672111770318,-46.0625,1330.4788362066306
A,6,949.875,3883.6581961309366,-229.5,3167.4702445326934,122.5,3231.7993053406026,-16.25,3886.215961574961,56.625,5911.508520198123,-23.96875,4844.590652756272,1006.375,4617.182350673947,-184.625,2485.367600451692,46.75,6849.269117029933,-43.25,3224.3838752543097,19.5,6817.754487366056,-23.46875,3596.8518003975973,1004.375,5641.57046923771,-164.0,2573.1432140477527,-170.625,6765.752035758848,-32.1875,3422.784040783723,0.0625,7803.402294582393,-6.84375,3329.9092715622055,1012.125,4949.004797368356,-219.375,3106.410325339362,-83.375,5855.165506574088,-19.375,3487.7811244220875,16.1875,7787.1541594053315,11.53125,4039.257264525675,-94.625,1028.0985406929628,-53.625,1610.10305861923,200.125,1670.3698645434788,-10.625,2297.831882313195,44.03125,1839.118156283994,2.84375,1447.8472189205384
A,7,1028.875,3008.695354198394,-173.125,2346.5598723184116,50.75,2500.4302504769053,43.625,3101.649699655814,296.625,5395.748411654772,47.78125,4745.2182229480695,1030.25,3735.9370896068367,-219.375,1668.1172349013723,84.625,4339.791943097618,40.375,2746.421714590642,408.0625,6196.626370138331,86.96875,3074.8967308307183,1099.125,4975.705450926029,-179.625,2005.7106868576534,36.875,7365.145805371066,16.34375,2308.204965570852,424.84375,6962.858025397038,65.84375,2767.321709584185,1051.125,6063.587447573837,-283.75,2734.1333064611167,-5.875,7359.560243953099,45.40625,2452.971703609917,204.5,6901.539031259622,129.28125,2988.4060156960663,-19.875,604.1154561629755,-72.875,1268.3681383474595,164.125,1254.5953468648765,50.8125,2212.716789343758,95.40625,680.5391180607751,18.09375,1066.9971110368283
A,8,990.875,3775.441859488105,-223.0,2991.1837121781737,20.125,3020.3735670236224,7.78125,3902.9335260030293,53.25,5925.225939784913,-12.96875,4743.092236903414,1006.125,4498.575439444691,-174.125,3016.46962265079,-97.25,7856.106378957708,0.625,5636.3506131516515,-15.875,6072.409662512486,-34.53125,3660.7845298546918,1013.875,5032.857636013064,-160.5,2697.4177930012993,-237.375,8172.4214042947515,3.9375,3150.096634802455,46.34375,6245.386510303901,-18.6875,3051.553195070299,1035.5,5089.956753254392,-207.5,3227.9654195793364,-102.375,8561.918585187259,28.28125,3195.811528727631,78.5625,6619.919665003024,13.90625,5185.440400531177,-44.0,688.8279901397735,0.75,1941.1737267694512,70.125,1491.9942977019048,33.84375,2895.2741138510423,38.71875,991.8560012161229,-22.0625,1180.0302680837258
A,9,982.5,3239.0260496019478,-169.875,1871.3660743892415,219.375,2386.9336206470007,27.25,3253.0136700450553,319.25,5404.2366019633155,23.65625,3771.3818638644825,1010.75,2952.9988888416465,-201.5,3304.9533657829425,58.125,4815.211104860824,24.03125,3428.3909444188885,241.0,6280.314373102671,52.6875,3003.926674345389,1055.375,4973.749803656694,-180.375,2846.3507091317824,-103.25,5560.33591049138,12.5,2569.2923393417104,180.78125,6393.736596928156,52.71875,2721.8972040928434,1062.625,4165.85904818862,-235.125,1929.6905799570561,-2.625,5475.313745291223,27.25,2597.267013131303,72.71875,5791.670356179506,100.5,2547.9756057505733,-21.375,595.3726642826323,-54.0,1319.6620779578384,77.625,1968.2189561568093,37.90625,2300.4275059129636,23.53125,1585.3390407176119,-21.40625,1407.0388867088705
A,10,969.125,3371.194185207224,-393.625,2589.2496711161325,287.625,2258.548285818791,80.96875,3391.715333761582,240.1875,5911.668580218596,213.6875,4938.409906269806,972.25,4195.83638116407,-403.0,2501.721407351346,198.875,5687.729268730624,20.125,4343.198740200015,240.25,7424.7314177012495,142.46875,3630.6466537000592,987.875,5539.855727758169,-330.625,3040.6413154752404,-119.75,6250.997515397043,132.875,2481.208019166269,305.3125,7659.251250275301,130.375,2806.2389170159763,1014.125,5076.552371873553,-405.5,2798.4495260768954,18.125,5763.74921248097,193.6875,2949.980089313104,266.5625,7824.929959500836,215.125,3206.5951836605445,-21.875,942.4950845362537,-34.875,2535.71907639135,48.875,1936.621990574051,341.34375,2457.6530930108784,90.25,1681.2536059440883,54.65625,1655.3903733216337
