Letter,Input,S1_MeanAccelMag,S1_StdAccelMag,S1_MeanGyroMag,S1_StdGyroMag,S1_MeanVelMag,S1_StdVelMag,S2_MeanAccelMag,S2_StdAccelMag,S2_MeanGyroMag,S2_StdGyroMag,S2_MeanVelMag,S2_StdVelMag,S3_MeanAccelMag,S3_StdAccelMag,S3_MeanGyroMag,S3_StdGyroMag,S3_MeanVelMag,S3_StdVelMag,S4_MeanAccelMag,S4_StdAccelMag,S4_MeanGyroMag,S4_StdGyroMag,S4_MeanVelMag,S4_StdVelMag,S5_MeanAccelMag,S5_StdAccelMag,S5_MeanGyroMag,S5_StdGyroMag,S5_MeanVelMag,S5_StdVelMag
A,1,5135.944291518654,3550.1645362457443,6241.339822711048,4108.203735964322,1530.54967478653,1152.2411439308419,9000.701347519644,5830.288522256687,6642.229968031283,3522.860239994931,2885.3814709680764,2086.739723341863,8819.832826823662,6617.365367492091,7231.9092275394,3355.8426269910924,3132.3535960466957,2038.7113702923903,6431.548925954408,5591.314327870926,8052.254283581216,3739.1231654357075,2473.6399730449875,1446.9134126343167,1783.9256348423255,1079.9172789396446,2195.5887889586934,1182.656184632245,572.9214254774972,358.67150716899624
A,2,4871.377624976794,4026.6269426004,8034.076507719548,5688.8543700035825,1901.377538442881,1040.2843493367673,7270.471316209041,5632.060354806364,9714.284227352797,7974.728946033507,3044.3595707233217,1550.881094151318,6033.162683053772,4699.236857172387,8790.35799276092,7483.962397794648,2431.7391949824373,1313.1259746537503,4743.22113747187,3555.5258740501476,8406.542824052185,6879.515555518915,1905.7978664643242,998.4412974973447,1684.5322768911715,788.4208952785598,2375.077604630671,1341.6969304697066,535.4033157827191,310.10856752809354
A,3,4326.894108431802,2493.957873424922,4966.8997100649985,3388.8029350577817,1521.3414939985842,893.6990767235088,6808.057706513547,5355.717232759914,6328.509272079362,3932.9843018000406,2490.8471300023784,1488.8458561780353,7640.293761367872,6254.821559405445,6113.520749274725,3968.9733501797923,2933.5152745652713,1665.6516372685703,6048.420693071954,4520.693931203371,6850.283766896075,3529.220917107645,2345.071825157055,1270.7192304093155,1612.3555769955829,933.3011268241569,1745.2499057705659,800.6398715451479,638.6401105626206,303.4182663348601
A,4,3704.2633730832213,2599.104146207711,6523.069936041295,5111.640094261745,1499.4800996428712,754.0977960887818,4967.359612800176,3565.84989548378,6365.428870758135,4214.684156768904,1874.5629935268648,1117.6725703684497,7579.0554885072,6916.498818197606,5971.44856469725,5132.241774597642,3051.7241879421817,1786.9906732390546,7609.694162924554,7552.313933275813,4916.3609818215255,4247.638878267888,3195.4192825593655,1781.9107493024947,1837.944026138143,783.0697649527231,1752.8820707774203,1007.5361077634203,682.593355046971,356.94024101757236
A,5,4937.3909777966965,2890.4225179671876,6600.207866703651,4983.4198872414145,1617.0584055134636,1063.092630261557,7872.163704309634,5200.910748373791,8034.196844500441,5839.184698125172,2722.7995712010706,1767.6742989317586,7415.015785073716,6070.703164140676,7688.404912974836,6127.295145526646,2528.260003947492,1719.2774389132537,6065.257389410044,5129.714300056764,7434.771488249388,4991.370676478955,2186.2854794239497,1352.6889231683722,1645.3516021894948,751.9066465808523,2312.1008624225774,986.8662406753881,574.8440667021974,316.87990318475306
A,6,3471.2252794054903,2265.3065045631847,6119.141662547006,5804.196283826165,1385.2123208211756,674.2085139394839,5160.777690469585,4114.4036177253465,6977.194022944099,5622.502659843137,2052.142480845744,1058.5896986600371,4983.984574748263,4805.468162278404,7146.907807802442,6088.405774956404,2025.95827503296,1086.8762838856699,5030.753219673036,4707.515750663972,6516.811825749621,4819.44295954106,2025.9074230160259,1095.7161723830025,1736.9295275652157,1202.1224214996066,2310.748286890097,1705.3612094317384,691.8481844318424,330.69224488931314
A,7,3979.814310769444,3043.1776240953686,5932.245603314827,5332.649269073666,1729.3966897435903,710.913804559281,7263.1371558859255,6234.345767984746,6448.815130441068,5388.735827598562,3201.72719269782,1450.4450822955419,7537.269106393725,7253.731999309233,6506.81963384388,5230.3321449381965,3438.467446004966,1522.1587743936036,5387.119572403086,5456.101833051836,6525.596316187356,5941.275980853104,2451.5461170044236,1091.9886729316238,2100.648869016171,1277.5767409831324,1985.2743658045351,1432.3974784358563,805.1840496876293,400.68718861080447
A,8,4416.140746882612,2742.2992002557057,7129.654427189114,4782.2426027296715,1792.3915454082758,814.0467796835576,7293.884761832713,4340.32770434498,7429.048140615814,5178.67078500002,2952.735128258086,1448.372213421133,8337.079987931611,6349.830098107369,6008.318031960188,4913.8686854729895,3260.7795475593475,1849.8800858371706,6574.486179141915,5467.392338242423,5607.06555561174,3587.3564838990287,2543.8180339525147,1461.606911697845,1661.3087114142081,760.791933040344,2056.343954254823,1232.0429215533188,537.5341315428232,297.0926446366663
A,9,4545.652185226685,2783.785589973456,6750.588587300076,4889.527032343103,1751.0251916650627,869.2932286068125,4989.564919778076,4074.4055285795985,8426.723500944547,5308.18256985184,2029.4287690085334,1032.0444950041958,6297.217734744187,4637.995019534119,8860.29653874709,5916.823743717259,2479.7473970120454,1220.8516821844828,5624.2346669019325,4608.854620360519,7676.378530980666,5717.575102729224,2469.1406027356024,1098.7663655808115,1641.249425797368,824.6661884179618,2052.4282309009686,1044.5436566992892,578.6918838082294,303.3902993205551
A,10,3842.6479110741793,2186.0484970643374,5375.596796995085,2967.690781758805,1341.059683620283,780.5048035080202,5017.026718710353,4568.607983154872,6165.307927971575,3191.812812226123,2088.2721476642937,1074.3078980658559,4747.25886113353,4615.846759305292,5317.389819843365,3487.904470821434,2019.1853929553108,1016.8068391405083,3937.6801759335567,3468.4845872599562,6013.733282409146,3992.2081266881014,1608.7255769530452,861.5300373333198,1555.0258646796565,653.6115514411345,2260.4011576943535,1009.5298627549495,539.4060669067703,307.26899635830506
