Letter,Input,S1_MeanAccelMag,S1_StdAccelMag,S1_MeanGyroMag,S1_StdGyroMag,S1_MeanVelMag,S1_StdVelMag,S2_MeanAccelMag,S2_StdAccelMag,S2_MeanGyroMag,S2_StdGyroMag,S2_MeanVelMag,S2_StdVelMag,S3_MeanAccelMag,S3_StdAccelMag,S3_MeanGyroMag,S3_StdGyroMag,S3_MeanVelMag,S3_StdVelMag,S4_MeanAccelMag,S4_StdAccelMag,S4_MeanGyroMag,S4_StdGyroMag,S4_MeanVelMag,S4_StdVelMag,S5_MeanAccelMag,S5_StdAccelMag,S5_MeanGyroMag,S5_StdGyroMag,S5_MeanVelMag,S5_StdVelMag
I,1,2309.905927339165,1046.826684243095,2425.590921766051,1700.2784952754416,738.9308351948064,464.12265687409086,4344.387964583262,4198.609199864176,4402.053630018219,3581.427486135022,1820.3513301723822,847.6689862524557,4243.467344418603,3517.791693215067,4493.858945748447,3700.291609382517,1655.9646511166304,956.6840007876431,3428.0878480227475,3074.347525287076,4393.919022826364,4098.171035912802,1368.0188687195446,777.7769722408245,2340.03195580707,1544.9316961606226,3455.7933095897115,2594.045237682833,898.0921113425045,480.52298074465375
I,2,1705.1102865909422,864.4558465079375,2032.3718655066484,1509.84046352488,584.0786408782542,335.8947532228599,3844.989452543061,4760.990087138663,5088.339864579849,8169.491283352809,1840.9341399207506,699.0320695531973,2763.6214543740953,2740.7746089241286,3130.5474925981216,2995.406888527435,1212.7136278109585,581.6548192147949,2164.1333343090455,2566.384891502523,3208.459575753005,3169.3405851231646,901.8222224961567,454.97127791089224,1936.2257300169463,1674.1051109235477,2987.1901035597784,2565.8447934246765,766.629932254618,383.28236045865543
I,3,1870.4468110248313,1472.261602816238,2166.4032188803085,1202.5978518295453,651.3647297067273,381.32970764181226,3293.4159979944743,3920.27251146576,3267.8169064417743,3458.387369457521,1537.120131967925,601.7543698523882,3141.1896149441973,3400.0187945019843,3514.097391962354,3563.949571901008,1400.313645861031,685.8941153029899,3297.647106830278,4472.9533374286275,3376.0982682758086,3448.959478298504,1550.6606016806663,713.6980547847734,1906.868989854098,1374.8134984545402,2730.0431600311704,2323.995468609399,719.0100937267172,431.4403850663913
I,4,2049.822113741998,1722.1043237894412,2046.2994359381569,1217.9860271075286,757.2091786289527,481.3447244027597,3206.519767506291,2814.2321298342463,3254.8212530026162,4285.746979641061,1298.2768608699703,715.7097272453505,3511.4466149188665,4113.262412073273,3186.0063032444295,4156.209434922254,1499.0157710232063,786.195682995111,3873.181747437489,5303.785690553219,3842.439777724922,4346.992572981607,1694.1507513521174,853.4090958034569,1832.8078941456708,1369.6889147384204,3890.565544821896,4263.06206604416,614.2488805653087,396.53865385170616
I,5,2591.410025150854,1576.8980885103672,2047.428739076097,1123.113875417477,791.8175173892796,509.8386284823433,4179.74993500784,3288.762150232509,3606.0069647347464,3378.5529384315564,1806.6776574266883,792.404238039745,4176.298169997119,4455.176550405013,3472.0523935292476,3392.1047238901424,1831.727733023511,864.1737889341798,3665.5379899521186,4590.929017553831,3663.6538267002143,3282.181588799571,1595.7823935222762,769.3859065111111,2203.945379542538,1632.5906602676307,3227.705186332839,3231.923476061909,808.9461468221939,495.1071617693759
I,6,2390.2257768944437,1594.5173989233713,1921.487282989287,1355.7094416062928,818.7619437516785,507.05802382083823,3887.4869938279066,3972.843738786975,3973.8387249077614,4161.314565545779,1665.0158483616094,764.7811308202089,3764.9066744876673,3288.796319688742,3407.945140814342,3195.0613127450183,1515.0889859924441,814.9052335762545,3593.3801752011523,3534.313641496937,3447.7248809311977,3283.6596802056033,1468.1385512265454,807.9356302714197,2317.14251577501,1463.2740897001688,2901.7835551119906,1854.3469990893338,834.0063763433302,484.33635871474803
I,7,2052.1392341353676,887.4590490396198,1669.2927578513718,1112.115523938481,630.5839653303012,432.75071024604625,2477.5590806238242,2442.5092634457765,3773.227627214728,3503.636502546107,930.5619681185449,544.4267022553444,2817.3397959414397,2508.6190372802025,3466.682792541199,3667.8126285837934,1079.2528049574103,594.1723152296456,2872.978069709663,2864.9855167116184,3441.6965535897707,3481.4834915245956,1123.2262443604614,653.1095196467751,2349.705629510866,2214.097548583834,3468.884666642218,3141.6275411058054,822.0664701827529,559.036398597162
I,8,2529.7797373826334,1521.0677106323224,2440.234398513241,1380.7156496950126,805.094843316952,556.7792084187975,3789.43526093142,2970.642086016022,4476.9123384318755,3568.7400711240425,1483.3663251591788,848.1056241005361,4154.438959359024,4260.018947488369,4805.549752125079,4406.026336717768,1713.8177096971667,912.1018208641045,3447.954765350842,3380.827108281999,4721.872643471388,3858.5385212650813,1403.3100488819318,733.1941310861271,2538.16769399022,1403.5213775302352,4962.463833328863,4392.039167249423,942.846253100613,519.9445743418357
I,9,2148.0869811385,1238.3213724487211,1602.1564885760436,924.6070914792303,667.3539576603957,454.7461092513087,3192.834463284903,2989.072864628798,3517.237517283294,2412.56450629094,1297.4880242073204,615.9190120447007,2889.2539614588195,2183.6929835016917,3335.966696388844,2705.8049600506138,1031.5149153064017,657.5727607088603,3427.087459915232,3570.8759488522924,3270.7984188295522,2554.3490517903188,1225.5665943436504,826.290770227794,1502.2578615322318,725.5517331414802,1839.742970986622,1017.3825887812891,475.1409786618478,300.79129531689233
I,10,2141.547439382935,1323.3550411255453,1905.743908960126,1103.9915210097308,693.7867865141893,444.8044888315013,4300.080274155698,3526.5862580996177,4697.5106681245115,5073.07889356714,1595.1387855066755,933.4864189191004,5738.931446378108,5030.626238727389,4463.29688275966,4045.149838707819,2252.532608734169,1308.0465162292307,4624.015142195609,3591.998742308484,4150.807422212106,3446.375155501632,1769.4730416446753,1047.6501207586093,1534.9383163455907,776.4582184600557,2598.043485256965,2375.841150774572,525.9166861044123,301.79557909134263
