Label,Input,S1_MeanAccelMag,S1_StdAccelMag,S1_MeanGyroMag,S1_StdGyroMag,S1_MeanVelMag,S1_StdVelMag,S2_MeanAccelMag,S2_StdAccelMag,S2_MeanGyroMag,S2_StdGyroMag,S2_MeanVelMag,S2_StdVelMag,S3_MeanAccelMag,S3_StdAccelMag,S3_MeanGyroMag,S3_StdGyroMag,S3_MeanVelMag,S3_StdVelMag,S4_MeanAccelMag,S4_StdAccelMag,S4_MeanGyroMag,S4_StdGyroMag,S4_MeanVelMag,S4_StdVelMag,S5_MeanAccelMag,S5_StdAccelMag,S5_MeanGyroMag,S5_StdGyroMag,S5_MeanVelMag,S5_StdVelMag
milk,1,4841.126519588319,3322.376486995219,10049.273307948191,9662.308144002654,1359.4458588426683,1002.6520836638913,8562.149523280048,6053.553340063608,12897.599999793274,12807.957021236158,2851.9136338809953,1733.3168623028223,8179.428334951622,9222.350167576078,9929.328112821111,10069.250323221206,2524.7723742246985,1861.4160827655005,7508.364635836008,8438.230086654856,11431.454287553961,11077.91043993921,2093.013841469312,1730.0164964709763,4063.1937035392025,3472.730903412958,6685.899925045787,5846.053672010097,1266.4993369718086,885.9870156925749
milk,2,6048.197109344405,4919.29179115429,9421.427509372279,7653.402829666244,1923.164028083376,1248.801656493433,5891.163416728568,4274.265620828797,9164.963123834983,7514.270344733738,2052.8519000029964,1109.8161506401473,6371.779576405337,4763.541017951228,8304.758263582982,7764.859013269344,2051.224738388524,1251.7371120211806,5768.223365374134,3983.2127368685565,8952.188958929848,7518.120175191039,1874.9052352502224,1188.6759751320496,3181.5247211487385,1960.8986329536363,5423.9380961914,3939.274925025367,995.7595043138405,662.0871031017489
milk,3,5604.777097268949,4002.8058521404037,10346.380320728971,7847.817216993031,1799.072104747971,1175.5569477173083,7410.285827092674,5688.9232250742725,9891.35822735685,7217.675563718554,2638.5512866090585,1418.7542979587477,5497.964607908534,4985.727998014448,9210.554476523095,8350.919164454313,1712.0408130770816,1218.1219326219027,6932.048232864509,5918.2062567335415,10561.04749988866,8238.063591423988,2397.5662785786562,1448.4215132016723,3215.97561933201,2584.2134810928633,6031.643733536974,3755.8920124497918,951.6330772388064,670.0302771297625
milk,4,4662.859656619917,3996.785248504902,8928.815656670427,7365.816765671479,1136.5985775192123,967.6011298765396,6151.276008240434,5436.99259429748,8862.570714611771,9051.596393233945,1749.3646392838914,1174.6894500059584,5757.366860610674,4778.930772917933,8541.633938449408,8147.237848975521,1553.3663742089675,1186.210514427584,5981.712655096238,5888.607068896811,10371.268005489947,8749.533401247783,1565.1532526682404,1168.3905861449418,4043.069994415495,2751.6923011588865,5725.602228715494,3999.1616144547306,1137.3338125811324,855.8086088266944
milk,5,4745.599857391784,4178.799707275174,9576.06273082738,8640.448453726742,1172.4131991692798,961.6095292516756,6448.861277177395,5207.321502242965,10235.11054461898,9134.198049879878,1916.7266908361921,1148.5954122292253,6551.655711434697,4814.185438765848,8175.914060686206,6580.526034997019,1838.4287515779456,1226.8413761200727,5545.671438930351,5076.628634382484,8842.712822025833,6984.955422884239,1385.8686516721286,1080.885092333781,3438.3956350311037,2147.7983976619066,6365.602032866251,4402.352710105025,945.5204994965836,713.1112211416781
milk,6,4265.265927960992,2510.6524179533617,9119.189562867936,7548.007514253713,1266.1203691186404,812.7114825566191,6260.230861960155,4495.687439642753,9851.3912854058,8543.268155283475,1766.736560651581,1122.6857945687732,6307.919448404471,5608.4440117059785,8182.751182619324,6491.332508783698,1512.854638210563,1205.9574930254926,4512.854751937768,3530.949374872529,8920.299269943114,6377.338972655628,1134.352525367067,850.8798535917078,2838.9634673483297,1536.7927417389606,6200.390303678278,4410.185811794374,832.5866774616529,571.0244652423734
milk,7,6572.096807786778,5552.425420397723,9959.692501103465,8911.300422551321,1710.3060657017377,1330.2121538280662,9077.285619823328,7978.660243182977,9375.52762184637,8260.395811838907,2494.281604391076,1774.2377369178928,7002.881415521975,4931.421689547237,8240.99912586987,6771.657452752024,2183.308092481926,1331.9107098652314,5716.600558726002,5866.638309285272,8953.54915595859,6564.515548525515,1709.3251540794586,1197.8404052258784,3693.038478784256,2778.22934514393,7140.943969062886,4154.543154722841,1107.5128652518729,771.4590183348653
milk,8,6178.815657636652,4616.9144532841565,9308.67276771867,7087.412362141265,1724.345950178493,1211.5753901981238,7943.325396800941,5135.732824099902,9050.43031210551,7897.676266834553,2615.3806039780684,1453.3727636453548,7236.49449839763,4782.911495591447,8273.907005241255,8259.990677574622,2497.224898331733,1387.2069787976127,5629.209101245566,4491.241186404276,9832.141989557222,8042.609846759057,1828.2590352551529,1102.5228149494121,3311.094098550337,1609.5269089223489,5730.367439043874,3875.6536280730456,1014.7933013694721,676.2206558473225
milk,9,4594.909508362469,2723.6757534552785,8963.588299096411,7524.66951254684,1370.9059170376056,906.4828342437108,5062.192904097203,3030.804348965456,8580.58914602003,7210.8519933294465,1479.5637184496295,997.7575967042281,6276.369900660757,4166.077516091089,8614.980754417002,7724.214729975771,1874.0531697227548,1276.8301106761503,6638.986195206578,5612.410293256944,10044.104247551903,8369.542519714552,1993.805550853721,1321.274501393754,3616.3563760699294,2759.240395699216,6234.565294316442,4355.946036414471,1192.437206014779,728.4302656455313
milk,10,4178.660930203998,3299.9280795778955,8996.292556263654,7257.1928710152915,1213.5632734881779,843.1557128535077,8225.430730755805,5806.103796311091,8342.914529465384,7278.8399293112225,2473.881174675798,1424.147983164671,7254.436013460522,5905.251275484135,7921.021117798795,6476.070585828689,2596.9518015055637,1335.7787221986134,6355.620808689513,5274.331913726406,8382.992515333659,6059.424020202733,1929.6146992781587,1253.4832231051537,3568.4903705550314,2697.288170599503,5874.363190008679,3892.3395823554565,1098.5436381846914,735.6654380925403
milk,11,6235.228727603453,5337.439902656388,10709.485402753218,8188.2797473410565,1842.5568230058714,1308.3201841728292,10132.502205490622,7818.614970423323,9522.48899659772,6884.781280362169,3162.8778145436486,1973.1346578980394,10142.262716046767,7299.225198518515,8876.158925550213,7958.421776073148,2886.2478377162342,2103.2106673094827,6775.863831835097,4894.14689526469,8979.728463644116,7377.407587982358,2002.285935870926,1441.725477259059,4513.300950933131,2877.440881461528,7196.541475605682,4460.26383144957,1485.81712957317,956.934931761475
