True Label,Predicted Label
A,A
A,L
A,A
A,A
A,O
B,B
B,B
B,B
B,B
B,B
C,C
C,C
C,C
C,C
C,C
D,D
D,D
D,X
D,P
D,D
E,E
E,C
E,C
E,C
E,E
F,F
F,F
F,F
F,F
F,F
G,Q
G,P
G,P
G,J
G,Q
H,H
H,H
H,P
H,H
H,Z
I,Y
I,I
I,I
I,I
I,I
J,J
J,J
J,J
J,J
J,J
K,P
K,P
K,P
K,P
K,P
L,L
L,L
L,L
L,L
L,L
M,W
M,W
M,W
M,M
M,M
N,T
N,V
N,H
N,M
N,R
O,C
O,G
O,G
O,D
O,G
P,P
P,Q
P,P
P,P
P,P
Q,Q
Q,P
Q,Q
Q,J
Q,Q
R,R
R,R
R,R
R,R
R,H
S,S
S,S
S,C
S,S
S,S
T,T
T,G
T,G
T,O
T,D
U,U
U,W
U,V
U,R
U,V
V,V
V,V
V,S
V,V
V,V
W,W
W,W
W,W
W,W
W,W
X,P
X,X
X,X
X,G
X,X
Y,Y
Y,Y
Y,Y
Y,P
Y,Y
Z,Z
Z,Z
Z,Q
Z,Z
Z,Z
